brute,dp,bnb
158.02,66.007,1.265
136.548,84.007,1.315
156.028,90.013,1.323
136.033,65.007,0.999
136.018,77.018,1.261
180.034,102.025,1.004
159.027,70.025,0.999
145.024,68.015,1.276
167.037,66.026,0.746
143.024,68.01,1.242
158.023,68.014,1
140.036,75.011,1.276
179.029,70.009,1.237
160.043,65.007,1.305
144.026,70.008,1.258
867.161,177.032,3.995
900.159,169.038,4.003
757.163,206.529,3.999
850.454,164.037,3.995
744.725,175.032,4
772.676,174.701,4.001
754.964,204.837,3.989
815.216,179.041,3.999
741.37,173.037,3.999
812.674,195.894,4.012
1016.733,193.047,4.002
823.309,188.277,3
917.262,177.036,4.001
813.687,171.032,3.999
763.493,194.033,3.999
778.321,200.672,3.998
742.167,179.037,2.996
821.185,219.034,4
792.935,177.026,4.001
799.202,184.543,4
867.199,168.026,4.001
823.496,178.022,4.001
787.474,209.774,4.001
840.834,207.344,5.001
864.247,218.016,3.999
832.983,186.041,6.999
792.863,208.392,3.999
825.317,177.03,4.001
783.547,254.055,3.999
801.694,202.041,4.002
893.457,183.043,3.999
839.752,169.036,4
801.275,180.035,4.003
838.713,179.054,4.003
813.857,171.036,4.013
897.754,179.087,4
801.933,196.044,4.001
817.693,181.814,4
810.851,168.038,4.009
832.676,173.027,3.998
821.679,222.05,4.001
831.712,183.035,4.001
808.175,218.562,4.008
829.23,204.039,3.998
758.215,172.039,4.001
834.212,219.547,5
804.605,203.096,4.001
850.139,178.032,5.007
777.687,172.022,4.001
811.973,195.04,3.998
829.207,215.32,4.001
874.232,173.038,4.001
912.984,202.8,3.999
846.024,168.186,4.001
895.648,185.024,4
823.432,197.714,3.994
796.358,211.029,4
914.345,187.034,4.001
814.697,176.548,3.999
834.173,182.028,4.013
912.89,194.046,4.001
859.191,214.04,4.001
839.179,199.043,3.999
879.719,205.048,3.992
900.19,191.03,4.001
835.456,187.043,4.001
865.932,206.798,4.007
803.167,176.029,5.001
846.186,244.228,4.001
818.024,205.63,5.001
901.197,206.049,4
851.903,184.034,4.999
947.383,183.036,4.999
826.166,185.034,3.998
854.602,200.508,4
896.44,210.411,6.003
821.173,194.118,3.999
854.464,211.477,3.998
844.789,208.793,4
871.493,243.558,4.019
946.211,207.048,6.002
846.171,202.218,3.999
855.016,190.037,4.001
875.979,294.279,4
870.188,192.454,3.994
894.996,204.624,3.998
840.487,267.604,4.001
1023.852,210.54,4
848.566,214.703,5.001
851.814,221.214,4.996
869.348,202.045,4.999
837.874,287.975,4.011
846.161,207.832,3.999
882.868,203.55,5.004
1001.786,206.877,4.002
874.853,251.406,4.001
837.739,177.04,3.999
880.292,178.041,5.008
848.191,222.4,4.001
941.296,213.051,4.004
936.529,200.041,4
855.243,212.552,4.994
949.367,209.045,5.008
845.744,208.931,3.999
979.152,219.217,4
818.88,214.27,5
857.193,206.101,3.998
841.697,217.032,4
872.519,221.832,4.001
