brute,dp,bnb
2976,5210,3464
3376,6020,3712
3592,5988,3640
3486,6844,3440
3376,5298,3192
3424,5324,3240
3536,4642,2936
3544,6164,4112
3424,6652,3168
3048,4666,3592
3990,6228,3192
3328,6372,3640
3488,5332,3640
4032,5716,3168
3424,6260,2984
3080,6924,3464
2976,5900,3664
3694,4538,3440
3048,6020,3664
3024,5338,3488
3296,5882,3904
3694,5354,3512
3536,5210,3488
3368,5394,2864
3048,5314,4064
3726,6348,3216
3288,5010,3854
3488,6020,3464
3534,5626,3512
3392,5178,3512
3560,5114,3416
3504,5530,3488
3448,5548,3168
3798,5746,3440
3534,4482,3536
3344,4346,3688
3336,6020,3464
3368,4650,3560
3448,5612,3168
3480,6090,4112
3048,5938,3264
3608,6204,3712
3608,5274,4024
3528,5154,3608
3504,5892,3640
3456,5908,4160
4070,5242,3488
3528,6380,3560
3592,5498,3216
3744,5650,3712
3768,6148,3664
3552,4922,3512
3848,4962,3488
3480,6044,3008
3384,6692,3712
3416,6220,3736
3608,4730,3856
3846,5026,3264
3584,5938,3712
3832,6468,3712
3616,5922,3736
3424,5058,4352
3584,5066,3976
4104,5772,3952
3528,5650,4184
3592,5082,3712
3800,5114,3512
3558,5506,4184
4312,4490,3688
2560,11476,2648
2616,13048,2648
2774,9276,2648
2616,11388,2648
2616,13120,2648
2832,11388,2648
2616,9172,2648
2774,8252,2648
2832,11580,2648
2832,9052,2648
3336,10908,2696
2968,11348,2696
2696,9780,2648
2912,9612,2720
3232,10324,3328
2936,11902,2672
2968,9092,2720
3256,8820,2720
2664,10716,2672
2960,8612,3408
3784,13512,2784
3368,11516,2808
3024,9700,2832
3064,8780,3088
3368,8340,3040
3048,12100,3064
2840,6172,3088
3552,10428,2784
3000,11252,2736
3392,8028,2808
3472,13272,3448
3560,11220,3128
3136,12324,2872
4040,11388,3624
3024,11988,3424
3352,8780,3424
3336,12132,3792
3744,12308,3552
3800,12036,3352
3800,12092,2632
3576,12692,3736
3416,9108,3464
3384,9988,3536
3680,11564,3784
3848,8620,3712
3568,7092,3856
3552,11204,3168
3768,11012,3216
3520,11364,3512
3656,12710,3240
3832,10900,3192
3520,8756,3096
4168,12816,3664
3608,11788,3712
3760,11604,2912
3872,12588,3544
3552,11572,3368
3858,10396,3688
3816,11132,3488
3632,13004,3192
3864,12068,3760
3360,10340,2696
3784,9644,3264
3616,11156,3264
3920,11116,3760
3496,13156,3536
3384,11356,3560
3504,13736,3560
3920,10548,3264
3864,12124,3608
4136,10964,3632
3624,9700,3688
3648,9364,3584
3976,13268,3288
3890,11188,3240
4144,12220,3312
3640,12444,3632
3848,12974,3760
3888,11756,3536
3864,11348,3784
3650,12508,3312
4432,12052,3536
3592,11404,3760
3752,8164,3656
4000,11084,3536
3896,11340,4024
3624,13022,3952
3624,10924,4000
3626,8932,4232
3872,10580,3386
3926,11812,3760
3730,12412,3584
3616,9572,3512
3968,12236,3288
3888,12052,4232
4018,11940,3608
3776,11868,3760
3984,8492,3760
3944,12340,3784
3976,10660,3362
4014,11804,3832
3734,12764,3608
4136,10868,3632
3616,10924,4048
3976,10772,3784
3800,11148,3784
3728,10652,3784
3704,11372,4000
3560,10876,3608
3624,10836,3632
2624,27160,2696
2840,24536,2696
2896,27896,2696
2896,23352,2696
2840,24232,2696
2896,23128,2696
2896,25432,2696
2624,24904,2696
2896,27384,2696
2840,22648,2696
2960,29272,3376
3320,29856,2696
3400,24064,2768
3536,27536,2768
3512,24368,3000
3432,27296,3456
3320,26928,2744
3376,24536,2768
3000,27896,2768
3022,23352,3376
3624,30560,2832
3624,25672,3064
3576,21976,3448
3088,28104,2832
3488,26136,2832
3520,27488,3064
3624,25400,3472
3536,26184,3136
3456,21328,2592
3470,25808,2856
3400,16112,3448
3536,27368,3400
3832,27184,2968
3480,27648,3864
3888,25616,2896
3720,28328,3496
3696,20888,3224
3528,24768,3248
3576,26288,3648
3798,27864,3472
3880,25456,3058
3136,27384,2984
3904,23432,3976
3600,27808,3288
3928,24432,3264
3664,23728,3240
3896,26064,3584
3448,28336,3008
3702,17536,3760
3592,19720,3362
4208,26016,3082
3960,29808,3264
3984,26464,3056
4256,25008,3584
3850,28472,3560
3736,27256,3362
3792,25648,3632
3770,25864,3784
3966,24328,3032
3278,27800,3832
3984,25056,3336
3712,22464,3632
3744,20976,3784
3664,29616,3314
3792,25024,4304
3672,27112,4024
4090,26088,3656
3768,27600,3386
3632,29016,3536
3838,24584,3832
4304,26832,3608
4040,26984,3336
3842,24120,4000
3794,24272,3880
4304,26944,3680
4090,23136,3632
3736,26232,3832
3736,26856,3784
3976,26688,3632
3568,25056,3336
4248,19328,3608
4056,29256,4352
3762,24472,4048
4040,26976,3880
4190,25016,4098
3688,28648,3680
3818,22472,3490
3826,17080,3880
4230,23840,3560
3750,22264,3384
3968,24552,3856
4248,14872,3432
4392,25232,3336
3808,28016,4072
3954,27480,4304
3576,24640,4120
4056,28024,3832
4136,27680,3608
4328,28608,3832
4088,27368,4072
4142,23352,3384
3992,21104,3784
4274,29448,3880
4296,25776,4072
3752,23984,3904
3648,25224,4280
4270,28304,4352
4272,27864,4096
3912,25824,3360
4264,26000,4072
2782,66698,2744
2544,56378,2744
2600,64762,2744
2782,59866,2744
2544,59834,2744
2782,66218,2744
2600,58234,2744
2782,67738,2744
2752,61610,2744
2752,51306,2744
2518,64530,2794
3544,48138,2640
3488,60730,2640
2968,66850,2744
3408,66482,2744
3408,59314,2640
3400,60226,2816
3432,60666,2768
3408,49274,3448
3456,64658,3048
3624,60738,3472
3496,61810,2808
3568,57018,2642
3616,32496,3160
3496,60946,2880
3544,55466,2880
3496,64378,3520
3730,60994,3496
3544,60466,3136
3496,58986,4008
4588,56034,3568
3584,65090,4192
3730,56202,3520
3808,57210,3250
3896,59058,3744
3992,52082,3248
3884,68154,3520
3976,66946,3296
3976,63522,3496
3584,60458,3250
4142,62962,3114
4262,57874,3010
3956,62058,3832
3720,59858,4352
3656,61810,3808
3504,61738,3760
4024,54034,3808
3840,62226,3808
3696,67250,3736
3840,59146,3784
3664,62450,3360
3842,57530,3154
3778,55474,3632
3608,61042,3680
3826,60290,3466
